"timestamp","source","handle","success","latency_seconds","posts_scraped","new_posts_found","error_message"
"2026-02-06T15:20:54.947502","https://nitter.poast.org","sircryptotips","True","30.09","0","0",""
"2026-02-06T15:21:24.960397","https://nitter.poast.org","blockchainchick","True","30.01","0","0",""
"2026-02-06T15:21:35.914102","https://nitter.poast.org","georgegammon","True","10.95","0","0",""
"2026-02-06T15:21:47.183098","https://nitter.poast.org","learningcrypto","True","11.27","0","0",""
"2026-02-06T15:22:17.687833","https://nitter.poast.org","1MarkMoss","True","30.50","0","0",""
"2026-02-06T15:22:28.592927","https://nitter.poast.org","AaronRDay","True","10.90","0","0",""
"2026-02-06T15:22:39.566072","https://nitter.poast.org","JacobKinge","True","10.97","0","0",""
"2026-02-06T15:23:01.156687","https://nitter.poast.org","kangoanywhere","True","21.59","0","0",""
"2026-02-06T15:23:30.979400","https://nitter.poast.org","theRealKiyosaki","True","29.82","0","0",""
"2026-02-06T15:24:01.685379","https://nitter.poast.org","PrepperCanadian","True","30.71","1","0",""
"2026-02-06T15:24:12.978872","https://nitter.poast.org","DollarVigilante","True","11.29","0","0",""
"2026-02-06T15:24:44.057554","https://nitter.poast.org","PeterSchiff","True","31.08","0","0",""
"2026-02-06T15:24:56.776408","https://nitter.poast.org","RayDalio","True","12.72","10","0",""
"2026-02-06T15:25:08.736466","https://nitter.poast.org","adamseconomics","True","11.96","10","0",""
"2026-02-06T15:25:20.729583","https://nitter.poast.org","thecoastguy","True","11.99","10","0",""
"2026-02-06T15:27:37.913824","https://nitter.poast.org","sircryptotips","True","12.84","0","0",""
"2026-02-06T15:27:50.185345","https://nitter.poast.org","blockchainchick","True","12.27","0","0",""
"2026-02-06T15:40:41.001977","https://nitter.poast.org","sircryptotips","True","11.23","0","0",""
"2026-02-06T15:40:52.656499","https://nitter.poast.org","blockchainchick","True","11.65","0","0",""
"2026-02-06T15:41:23.137587","https://nitter.poast.org","georgegammon","True","30.48","0","0",""
"2026-02-06T15:41:34.448807","https://nitter.poast.org","learningcrypto","True","11.31","0","0",""
"2026-02-06T15:41:46.428538","https://nitter.poast.org","1MarkMoss","True","11.98","0","0",""
"2026-02-06T15:41:58.178595","https://nitter.poast.org","AaronRDay","True","11.75","0","0",""
"2026-02-06T15:42:10.327052","https://nitter.poast.org","JacobKinge","True","12.15","1","1",""
"2026-02-06T15:42:21.286903","https://nitter.poast.org","kangoanywhere","True","10.96","0","0",""
"2026-02-06T15:42:31.933808","https://nitter.poast.org","theRealKiyosaki","True","10.65","0","0",""
"2026-02-06T15:42:44.221492","https://nitter.poast.org","PrepperCanadian","True","12.29","0","0",""
"2026-02-06T15:42:50.813601","https://nitter.poast.org","sircryptotips","True","11.95","0","0",""
"2026-02-06T15:42:56.303157","https://nitter.poast.org","DollarVigilante","True","12.08","0","0",""
"2026-02-06T15:43:08.442452","https://nitter.poast.org","PeterSchiff","True","12.14","0","0",""
"2026-02-06T15:43:21.385807","https://nitter.poast.org","RayDalio","True","12.94","0","0",""
"2026-02-06T15:43:24.003922","https://nitter.poast.org","blockchainchick","True","33.19","0","0",""
"2026-02-06T15:43:35.468806","https://nitter.poast.org","adamseconomics","True","14.08","0","0",""
"2026-02-06T15:43:36.833408","https://nitter.poast.org","georgegammon","True","12.82","0","0",""
"2026-02-06T15:43:49.308571","https://nitter.poast.org","thecoastguy","True","13.84","0","0",""
"2026-02-06T15:43:51.066888","https://nitter.poast.org","learningcrypto","True","14.23","0","0",""
"2026-02-06T15:44:03.758341","https://nitter.poast.org","1MarkMoss","True","12.69","0","0",""
"2026-02-06T15:44:39.827913","https://nitter.poast.org","sircryptotips","True","11.81","0","0",""
"2026-02-06T15:44:51.656845","https://nitter.poast.org","blockchainchick","True","11.83","0","0",""
"2026-02-06T15:45:27.945866","https://nitter.poast.org","georgegammon","True","36.29","0","0",""
"2026-02-06T15:45:40.016819","https://nitter.poast.org","learningcrypto","True","12.07","0","0",""
"2026-02-06T15:45:51.413818","https://nitter.poast.org","1MarkMoss","True","11.40","0","0",""
"2026-02-06T15:46:03.367988","https://nitter.poast.org","AaronRDay","True","11.95","1","1",""
"2026-02-06T15:46:34.459308","https://nitter.poast.org","JacobKinge","True","31.09","0","0",""
"2026-02-06T15:47:05.440342","https://nitter.poast.org","kangoanywhere","True","30.98","0","0",""
"2026-02-06T15:47:16.464685","https://nitter.poast.org","theRealKiyosaki","True","11.02","0","0",""
"2026-02-06T15:47:39.892466","https://nitter.poast.org","CaitlinLong_","True","12.83","10","10",""
"2026-02-06T15:47:51.155202","https://nitter.poast.org","sircryptotips","True","11.26","0","0",""
"2026-02-06T15:48:25.158723","https://nitter.poast.org","CaitlinLong_","True","11.38","0","0",""
"2026-02-06T15:48:36.895519","https://nitter.poast.org","sircryptotips","True","11.74","0","0",""
"2026-02-06T15:50:33.819700","https://nitter.poast.org","sircryptotips","True","11.46","1","1",""
"2026-02-06T15:50:45.030716","https://nitter.poast.org","blockchainchick","True","11.21","0","0",""
"2026-02-06T15:50:56.137935","https://nitter.poast.org","georgegammon","True","11.11","0","0",""
"2026-02-06T15:51:08.607264","https://nitter.poast.org","learningcrypto","True","12.47","0","0",""
"2026-02-06T15:51:20.025096","https://nitter.poast.org","1MarkMoss","True","11.42","0","0",""
"2026-02-06T15:51:50.215962","https://nitter.poast.org","AaronRDay","False","30.19","0","0",""
"2026-02-06T15:52:21.329778","x.com","AaronRDay","False","31.11","0","0",""
"2026-02-06T15:52:50.429071","https://xcancel.com","AaronRDay","False","29.10","0","0",""
"2026-02-06T15:53:07.399345","https://nitter.cz","AaronRDay","False","16.97","0","0",""
"2026-02-06T15:53:11.840642","https://nitter.privacydev.net","AaronRDay","False","4.44","0","0",""
"2026-02-06T15:53:23.851802","https://nitter.poast.org","AaronRDay","True","12.01","0","0",""
"2026-02-06T15:53:35.096197","https://nitter.poast.org","JacobKinge","True","11.24","0","0",""
"2026-02-06T15:53:47.226335","https://nitter.poast.org","kangoanywhere","True","12.13","0","0",""
"2026-02-06T15:54:03.254632","https://nitter.poast.org","theRealKiyosaki","True","16.03","0","0",""
"2026-02-06T15:54:16.054219","https://nitter.poast.org","PrepperCanadian","True","12.80","1","1",""
